n,convex_time,os_time
10,0.0009992122650146484,0.0010001659393310547
110,0.025998830795288086,0.005000591278076172
210,0.013000965118408203,0.0070002079010009766
310,0.0589902400970459,0.011007308959960938
410,0.06700015068054199,0.014000177383422852
510,0.09100031852722168,0.017024993896484375
610,0.056023597717285156,0.020975112915039062
710,0.1780261993408203,0.023975133895874023
810,0.12302637100219727,0.02599811553955078
910,0.29102611541748047,0.028998851776123047
1010,0.01899862289428711,0.04700064659118652
1110,0.04603099822998047,0.03998994827270508
1210,0.15802645683288574,0.03800058364868164
1310,0.16199040412902832,0.04200887680053711
1410,0.12399983406066895,0.045999765396118164
1510,0.28099894523620605,0.04700040817260742
1610,0.14400029182434082,0.05099916458129883
1710,0.5640029907226562,0.05399823188781738
1810,0.3640007972717285,0.05899858474731445
1910,0.3670032024383545,0.060025691986083984
2010,0.7079732418060303,0.06200265884399414
2110,1.0489771366119385,0.06302499771118164
2210,0.8330283164978027,0.07599878311157227
2310,0.4929988384246826,0.07102560997009277
2410,0.1249992847442627,0.07399797439575195
2510,0.3860201835632324,0.07600831985473633
2610,0.554999589920044,0.07802534103393555
2710,0.21300673484802246,0.0820164680480957
2810,0.28197526931762695,0.08500027656555176
2910,0.46102452278137207,0.09699559211730957
