n,convex_time,os_time
1,0.0001323223114013672,0.0002722740173339844
101,0.0011212825775146484,0.004332780838012695
201,0.0018668174743652344,0.008589029312133789
301,0.002984285354614258,0.01275634765625
401,0.0032777786254882812,0.017018556594848633
501,0.005896806716918945,0.021499156951904297
601,0.004695892333984375,0.025457143783569336
701,0.005559444427490234,0.029295921325683594
801,0.006070613861083984,0.03363442420959473
901,0.006886482238769531,0.04064536094665527
1001,0.00810861587524414,0.04104781150817871
1101,0.012970209121704102,0.042700767517089844
1201,0.010242462158203125,0.059146881103515625
1301,0.010089397430419922,0.05973219871520996
1401,0.012425422668457031,0.05821728706359863
1501,0.010977029800415039,0.06121635437011719
1601,0.01235508918762207,0.06600737571716309
1701,0.012307405471801758,0.07015228271484375
1801,0.013173580169677734,0.06920218467712402
1901,0.017933130264282227,0.08391571044921875
2001,0.014436721801757812,0.09046697616577148
2101,0.015068531036376953,0.09739446640014648
2201,0.018620967864990234,0.0992288589477539
2301,0.016719818115234375,0.10653281211853027
2401,0.022042512893676758,0.10880756378173828
2501,0.01927947998046875,0.10880374908447266
2601,0.019126176834106445,0.11686944961547852
2701,0.019812822341918945,0.11728382110595703
2801,0.02509617805480957,0.12737202644348145
2901,0.020880699157714844,0.13021254539489746
3001,0.021701574325561523,0.13660192489624023
3101,0.02291107177734375,0.15217924118041992
3201,0.0228579044342041,0.13368844985961914
3301,0.024327516555786133,0.13084793090820312
3401,0.025009870529174805,0.1523146629333496
3501,0.030118942260742188,0.16193485260009766
3601,0.026737451553344727,0.1634054183959961
3701,0.027460575103759766,0.1769869327545166
3801,0.03195023536682129,0.14753437042236328
3901,0.028528213500976562,0.17615485191345215
4001,0.028801679611206055,0.20057415962219238
4101,0.029763460159301758,0.1854228973388672
4201,0.03041362762451172,0.19066309928894043
4301,0.03935408592224121,0.1972370147705078
4401,0.03220343589782715,0.20139217376708984
4501,0.04024815559387207,0.2096240520477295
4601,0.035620689392089844,0.24240541458129883
4701,0.035521507263183594,0.21288299560546875
4801,0.03954482078552246,0.19928431510925293
4901,0.03608131408691406,0.20145940780639648
5001,0.04100990295410156,0.26043033599853516
5101,0.03638815879821777,0.23187780380249023
5201,0.04297018051147461,0.2682933807373047
5301,0.038134098052978516,0.24178743362426758
5401,0.04394960403442383,0.24297237396240234
5501,0.0402979850769043,0.2500321865081787
5601,0.04532289505004883,0.2410271167755127
5701,0.04187130928039551,0.2623615264892578
5801,0.04640054702758789,0.26539158821105957
5901,0.04206252098083496,0.26215195655822754
6001,0.042647361755371094,0.24551177024841309
6101,0.050840139389038086,0.25438451766967773
6201,0.02352452278137207,0.14205098152160645
6301,0.054270267486572266,0.30891966819763184
6401,0.04860877990722656,0.3087332248687744
6501,0.0467526912689209,0.27161097526550293
6601,0.056430816650390625,0.30518484115600586
6701,0.04869985580444336,0.3494386672973633
6801,0.05442929267883301,0.32103872299194336
6901,0.05977463722229004,0.3275899887084961
7001,0.050760746002197266,0.3242945671081543
7101,0.05810213088989258,0.31666016578674316
7201,0.05977821350097656,0.3481147289276123
7301,0.0525059700012207,0.35065388679504395
7401,0.059815168380737305,0.3452894687652588
7501,0.06371116638183594,0.3588120937347412
7601,0.056853532791137695,0.3593285083770752
7701,0.05627012252807617,0.3470890522003174
7801,0.06470489501953125,0.3338484764099121
7901,0.06575512886047363,0.4114954471588135
8001,0.05998587608337402,0.33365368843078613
8101,0.05963850021362305,0.433138370513916
8201,0.06705522537231445,0.37137842178344727
8301,0.06782269477844238,0.3604404926300049
8401,0.06939959526062012,0.38108253479003906
8501,0.0620875358581543,0.38225769996643066
8601,0.06245684623718262,0.38419508934020996
8701,0.0696573257446289,0.36189961433410645
8801,0.07107043266296387,0.3916897773742676
8901,0.07235598564147949,0.44016170501708984
9001,0.07464122772216797,0.3991513252258301
9101,0.07732725143432617,0.40097713470458984
9201,0.06847238540649414,0.37958574295043945
9301,0.0662832260131836,0.44684314727783203
9401,0.07272958755493164,0.4046661853790283
9501,0.07386612892150879,0.4338572025299072
9601,0.07542133331298828,0.4277939796447754
9701,0.07761478424072266,0.43700456619262695
9801,0.0805044174194336,0.5299720764160156
9901,0.08088541030883789,0.4269719123840332
10001,0.0814967155456543,0.4278085231781006
10101,0.08087468147277832,0.42525267601013184
10201,0.08763837814331055,0.5008499622344971
10301,0.08495497703552246,0.44230198860168457
10401,0.08666586875915527,0.4704875946044922
10501,0.08438563346862793,0.447476863861084
10601,0.08699727058410645,0.45154500007629395
10701,0.08477258682250977,0.44795727729797363
10801,0.08604836463928223,0.5630025863647461
10901,0.08899164199829102,0.4724433422088623
11001,0.08876419067382812,0.48288583755493164
11101,0.0879824161529541,0.46996521949768066
11201,0.08972334861755371,0.47908663749694824
11301,0.0879983901977539,0.5160386562347412
11401,0.09198617935180664,0.48662829399108887
11501,0.08990812301635742,0.5847570896148682
11601,0.08420729637145996,0.5029687881469727
11701,0.10012316703796387,0.5048158168792725
11801,0.09422540664672852,0.5129449367523193
