n,convex_time,os_time
1,9.465217590332031e-05,0.00021266937255859375
101,0.005228281021118164,0.0028417110443115234
201,0.008365631103515625,0.008406639099121094
301,0.009436368942260742,0.008539915084838867
401,0.02759265899658203,0.011692523956298828
501,0.015547990798950195,0.014423608779907227
601,0.036184072494506836,0.021273136138916016
701,0.04578995704650879,0.030847549438476562
801,0.05278277397155762,0.04727029800415039
901,0.051369428634643555,0.044606924057006836
1001,0.05384182929992676,0.0527949333190918
1101,0.05776381492614746,0.04653286933898926
1201,0.06333780288696289,0.050182342529296875
1301,0.06725645065307617,0.04836225509643555
1401,0.07246088981628418,0.07990813255310059
1501,0.07738494873046875,0.07104134559631348
1601,0.08852481842041016,0.06943488121032715
1701,0.08781599998474121,0.09033799171447754
1801,0.09335160255432129,0.08133840560913086
1901,0.09846067428588867,0.11130690574645996
2001,0.10472989082336426,0.1352231502532959
2101,0.12130212783813477,0.1315762996673584
2201,0.14589238166809082,0.20519638061523438
2301,0.1436011791229248,0.12627506256103516
2401,0.15370583534240723,0.1180870532989502
2501,0.16412687301635742,0.11603879928588867
2601,0.15125584602355957,0.24109649658203125
2701,0.14098215103149414,0.1143794059753418
2801,0.14518094062805176,0.21251940727233887
2901,0.15169501304626465,0.11260581016540527
3001,0.16181135177612305,0.11545419692993164
3101,0.1893148422241211,0.2791414260864258
3201,0.1999356746673584,0.1597907543182373
3301,0.2116246223449707,0.16612601280212402
3401,0.18517065048217773,0.37008094787597656
3501,0.217940092086792,0.29074549674987793
3601,0.21895051002502441,0.333845853805542
3701,0.24394869804382324,0.24887347221374512
3801,0.2344508171081543,0.32402992248535156
3901,0.24418139457702637,0.1898033618927002
4001,0.26436686515808105,0.29139113426208496
4101,0.2298424243927002,0.40677642822265625
4201,0.25919103622436523,0.2179112434387207
4301,0.27874231338500977,0.3602299690246582
4401,0.25282931327819824,0.19353938102722168
4501,0.23224759101867676,0.6948659420013428
4601,0.2395467758178711,0.3335297107696533
4701,0.2500162124633789,0.6268198490142822
4801,0.24934625625610352,0.45795536041259766
4901,0.26628923416137695,0.5947821140289307
5001,0.3094980716705322,0.21614623069763184
5101,0.33705687522888184,0.4081838130950928
5201,0.2772483825683594,0.26082491874694824
5301,0.278872013092041,0.2222766876220703
5401,0.27872157096862793,0.23816871643066406
5501,0.3037753105163574,0.2503213882446289
5601,0.2897324562072754,0.42594361305236816
5701,0.3058180809020996,0.21898174285888672
5801,0.3042566776275635,0.22159790992736816
5901,0.3835270404815674,0.7740645408630371
6001,0.30907320976257324,0.7737522125244141
6101,0.31709837913513184,0.2853586673736572
6201,0.3346438407897949,0.8523862361907959
6301,0.38924241065979004,0.3000960350036621
6401,0.42989087104797363,0.3217315673828125
6501,0.4058058261871338,0.8009908199310303
6601,0.4003932476043701,0.8491864204406738
6701,0.359189510345459,0.34842920303344727
6801,0.4289278984069824,0.3444993495941162
6901,0.46550965309143066,0.3764166831970215
7001,0.4556295871734619,0.3123955726623535
7101,0.4636695384979248,0.3547694683074951
7201,0.4878830909729004,1.2412097454071045
7301,0.4693136215209961,0.6906213760375977
7401,0.46447157859802246,1.2878406047821045
7501,0.4768218994140625,1.3003120422363281
7601,0.359102725982666,1.2701144218444824
7701,0.41150999069213867,0.7319369316101074
7801,0.40361905097961426,0.34624266624450684
7901,0.4183483123779297,0.3556034564971924
8001,0.515573263168335,0.41355252265930176
8101,0.5040860176086426,0.4010350704193115
8201,0.5494277477264404,0.8663151264190674
8301,0.5270791053771973,1.3654515743255615
8401,0.4485454559326172,0.3411092758178711
8501,0.4685628414154053,0.8306052684783936
8601,0.49646902084350586,1.5117301940917969
8701,0.5392954349517822,1.9656612873077393
8801,0.5276997089385986,1.4884297847747803
8901,0.5952475070953369,0.4707815647125244
9001,0.48169851303100586,0.786224365234375
9101,0.48833537101745605,0.4527554512023926
9201,0.540027379989624,1.5713794231414795
9301,0.5194203853607178,2.0623550415039062
9401,0.4846305847167969,1.0942401885986328
9501,0.5950934886932373,2.139631748199463
9601,0.5122349262237549,0.4983055591583252
9701,0.5008091926574707,2.316838502883911
9801,0.5170130729675293,0.3877382278442383
9901,0.5251133441925049,0.4943664073944092
10001,0.6223595142364502,0.5467104911804199
10101,0.5408732891082764,1.1768300533294678
10201,0.5440654754638672,0.5215938091278076
10301,0.5451855659484863,0.5098474025726318
10401,0.559117317199707,2.3098487854003906
10501,0.5659816265106201,1.6279206275939941
10601,0.562408447265625,0.6655046939849854
10701,0.6469733715057373,0.771439790725708
10801,0.36359167098999023,0.4165315628051758
10901,0.6070947647094727,0.374936580657959
11001,0.6081337928771973,0.842557430267334
11101,0.7132532596588135,2.911738395690918
11201,0.6239211559295654,2.8624982833862305
11301,0.5905985832214355,0.5418484210968018
11401,0.582831621170044,0.582160472869873
11501,0.6767339706420898,2.4730465412139893
11601,0.6324198246002197,2.256457805633545
11701,0.5113992691040039,0.6652529239654541
11801,0.391110897064209,0.30433201789855957
11901,0.3869740962982178,1.7798004150390625
12001,0.3759465217590332,0.6861848831176758
12101,0.4404177665710449,1.9964072704315186
12201,0.4142625331878662,0.48666906356811523
12301,0.4136221408843994,0.3983125686645508
12401,0.4713468551635742,2.534968614578247
12501,0.4308643341064453,0.5616981983184814
12601,0.5639309883117676,0.5086407661437988
12701,0.8179614543914795,2.619835138320923
12801,0.7013111114501953,4.070620059967041
12901,0.5015277862548828,3.205764055252075
