n,convex_time,os_time
1,0.000125885009765625,0.0002875328063964844
101,0.0012347698211669922,0.004984378814697266
201,0.001796722412109375,0.009932756423950195
301,0.0014834403991699219,0.0074274539947509766
401,0.0018749237060546875,0.009795665740966797
501,0.0022552013397216797,0.012111425399780273
601,0.0030951499938964844,0.014208793640136719
701,0.0030891895294189453,0.016641616821289062
801,0.00422215461730957,0.018532991409301758
901,0.003717660903930664,0.020328044891357422
1001,0.004034519195556641,0.023034334182739258
1101,0.004440784454345703,0.02512645721435547
1201,0.008841991424560547,0.05492568016052246
1301,0.013948678970336914,0.059720516204833984
1401,0.010144710540771484,0.06401681900024414
1501,0.01082468032836914,0.06226634979248047
1601,0.01387786865234375,0.066864013671875
1701,0.013247489929199219,0.07169222831726074
1801,0.013422012329101562,0.07468891143798828
1901,0.015369653701782227,0.07316255569458008
2001,0.019146203994750977,0.09810423851013184
2101,0.015827178955078125,0.09572458267211914
2201,0.016192913055419922,0.10225224494934082
2301,0.017075777053833008,0.10202598571777344
2401,0.018808364868164062,0.09979939460754395
2501,0.021921157836914062,0.10442543029785156
2601,0.01929783821105957,0.10148119926452637
2701,0.020296573638916016,0.143357515335083
2801,0.020367145538330078,0.12572002410888672
2901,0.029489517211914062,0.13223934173583984
3001,0.0217745304107666,0.12845087051391602
3101,0.02275395393371582,0.13291597366333008
3201,0.026363372802734375,0.11136436462402344
3301,0.012683391571044922,0.0736091136932373
3401,0.013837575912475586,0.07837820053100586
3501,0.018683671951293945,0.0812835693359375
3601,0.02663707733154297,0.0913548469543457
3701,0.026645421981811523,0.18655014038085938
3801,0.03256368637084961,0.16843867301940918
3901,0.028719663619995117,0.15427136421203613
4001,0.02901744842529297,0.18668699264526367
4101,0.03673887252807617,0.1814897060394287
4201,0.03136253356933594,0.17336297035217285
4301,0.030725479125976562,0.1944594383239746
4401,0.03140139579772949,0.1818530559539795
4501,0.03317070007324219,0.19397377967834473
4601,0.039501190185546875,0.20676779747009277
4701,0.03706550598144531,0.19986534118652344
4801,0.041053056716918945,0.21687102317810059
4901,0.03523850440979004,0.20237326622009277
5001,0.04319953918457031,0.22445154190063477
5101,0.03675436973571777,0.2286231517791748
5201,0.0481874942779541,0.20830488204956055
5301,0.04006695747375488,0.23717236518859863
5401,0.04450082778930664,0.2230243682861328
5501,0.04020953178405762,0.2545621395111084
5601,0.04663872718811035,0.23128771781921387
5701,0.04288363456726074,0.2549266815185547
5801,0.052904367446899414,0.24340415000915527
5901,0.044432640075683594,0.2647223472595215
6001,0.05131196975708008,0.2758655548095703
6101,0.04357266426086426,0.2630174160003662
6201,0.044904470443725586,0.28056788444519043
6301,0.05504584312438965,0.2886168956756592
6401,0.04630398750305176,0.2736682891845703
6501,0.0523066520690918,0.29732298851013184
6601,0.04732346534729004,0.30509495735168457
6701,0.02572917938232422,0.23061776161193848
6801,0.030702829360961914,0.14922189712524414
6901,0.049408912658691406,0.2837066650390625
7001,0.05080008506774902,0.3140897750854492
7101,0.06308293342590332,0.3390934467315674
7201,0.0536196231842041,0.3177826404571533
7301,0.054274797439575195,0.3188188076019287
7401,0.05877876281738281,0.3358628749847412
7501,0.0637061595916748,0.31580305099487305
7601,0.05631852149963379,0.36531519889831543
7701,0.060877084732055664,0.3430485725402832
7801,0.03450298309326172,0.18519353866577148
7901,0.036257266998291016,0.21571683883666992
8001,0.030201196670532227,0.22493886947631836
8101,0.03473353385925293,0.23341822624206543
8201,0.03690457344055176,0.28486132621765137
8301,0.03892111778259277,0.2425682544708252
8401,0.03171586990356445,0.19193387031555176
8501,0.03196144104003906,0.23909401893615723
8601,0.06940913200378418,0.3523828983306885
8701,0.06928467750549316,0.3634915351867676
8801,0.07161402702331543,0.38727617263793945
8901,0.07542681694030762,0.3682384490966797
9001,0.06495237350463867,0.4679067134857178
9101,0.06792664527893066,0.3821239471435547
9201,0.06624078750610352,0.457777738571167
9301,0.07337355613708496,0.4479498863220215
9401,0.07342648506164551,0.42387986183166504
9501,0.04169607162475586,0.40991735458374023
9601,0.0452275276184082,0.221604585647583
9701,0.043595314025878906,0.2149181365966797
9801,0.08195948600769043,0.43177247047424316
9901,0.08374834060668945,0.4177858829498291
10001,0.08350682258605957,0.4496948719024658
10101,0.08660054206848145,0.40165185928344727
10201,0.08552408218383789,0.47376155853271484
10301,0.08690595626831055,0.46561646461486816
10401,0.0863044261932373,0.4364917278289795
10501,0.08784842491149902,0.4331693649291992
10601,0.08718729019165039,0.4040815830230713
10701,0.08948683738708496,0.45201873779296875
10801,0.0897526741027832,0.46541547775268555
10901,0.08986163139343262,0.5276927947998047
11001,0.09088444709777832,0.40291881561279297
11101,0.08820295333862305,0.39246249198913574
11201,0.09369945526123047,0.4796030521392822
